"CAMPAIGN: CMP_01"
"List ID #101: ESP 70K soufiane 0104 TEST"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #102: Base Adil 0604"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #103: 100K ESP 0604 SOUFIANE PART2"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #104: EXT FICH SERV 51 MIXT"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #105: FICHE ESP 090426 P2"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #106: EXTRACT SERV 141 P1"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #107: FICHE ESP 090426 P3"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #108: SOUFIANE 150K ESP132 P2"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","60335","00:00:00","00:00:00.0000"
"AB","56346","00:00:00","00:00:00.0000"
"AA","1536","00:01:40","00:00:00.0651"
"XFER","1281","13:02:20","00:00:36.7005"
"SHCALL","665","01:17:53","00:00:07.0270"
"DROP","574","00:37:51","00:00:03.9564"
"ADC","313","00:00:00","00:00:00.0000"
"PDROP","257","00:00:00","00:00:00.0000"
"QUEUE","1","NULL","NULL"

"List ID #109: 50K SRCE SOUF 100K 170426  P1"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","26067","00:00:00","00:00:00.0000"
"AB","23587","00:00:00","00:00:00.0000"
"AA","1574","00:01:15","00:00:00.0476"
"XFER","960","08:50:17","00:00:33.2118"
"SHCALL","878","01:44:51","00:00:07.1651"
"DROP","555","00:44:10","00:00:04.7747"
"ADC","261","00:00:00","00:00:00.0000"
"PDROP","152","00:00:00","00:00:00.0000"
"QUEUE","1","NULL","NULL"

