"CAMPAIGN: CMP_01"
"List ID #101: ESP 70K soufiane 0104 TEST"
"***NO CALLS FOUND FROM 2026-04-23 00:00:00 TO 2026-04-23 23:59:59***"

"List ID #102: Base Adil 0604"
"***NO CALLS FOUND FROM 2026-04-23 00:00:00 TO 2026-04-23 23:59:59***"

"List ID #103: 100K ESP 0604 SOUFIANE PART2"
"***NO CALLS FOUND FROM 2026-04-23 00:00:00 TO 2026-04-23 23:59:59***"

"List ID #104: EXT FICH SERV 51 MIXT"
"***NO CALLS FOUND FROM 2026-04-23 00:00:00 TO 2026-04-23 23:59:59***"

"List ID #105: FICHE ESP 090426 P2"
"***NO CALLS FOUND FROM 2026-04-23 00:00:00 TO 2026-04-23 23:59:59***"

"List ID #106: EXTRACT SERV 141 P1"
"***NO CALLS FOUND FROM 2026-04-23 00:00:00 TO 2026-04-23 23:59:59***"

"List ID #107: FICHE ESP 090426 P3"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","4156","00:00:00","00:00:00.0000"
"AB","3491","00:00:00","00:00:00.0000"
"AA","118","00:00:06","00:00:00.0508"
"XFER","103","00:55:24","00:00:32.2718"
"SHCALL","63","00:07:51","00:00:07.4761"
"DROP","34","00:02:07","00:00:03.7352"
"PDROP","9","00:00:00","00:00:00.0000"

"List ID #108: SOUFIANE 150K ESP132 P2"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","4551","00:00:00","00:00:00.0000"
"AB","4257","00:00:00","00:00:00.0000"
"AA","64","00:00:03","00:00:00.0468"
"XFER","54","00:36:20","00:00:40.3703"
"DROP","35","00:02:09","00:00:03.6857"
"SHCALL","21","00:02:12","00:00:06.2857"
"PDROP","8","00:00:00","00:00:00.0000"

"List ID #109: 50K SRCE SOUF 100K 170426  P1"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","1784","00:00:00","00:00:00.0000"
"AB","1561","00:00:00","00:00:00.0000"
"AA","57","00:00:05","00:00:00.0877"
"SHCALL","52","00:05:47","00:00:06.6730"
"XFER","35","00:17:49","00:00:30.5428"
"DROP","32","00:02:23","00:00:04.4687"
"PDROP","8","00:00:00","00:00:00.0000"

